,feature_0,feature_1,feature_2,wMSE,pred_error,sample
GRB 140318A,-4.604318618774414,2.5912117958068848,-5.740077972412109,0.9204317092895508,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8335812091827393, 0.7771108746528625, 0.8605405688285828, 0.6739755272865295, 0.2468443512916565, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.108959436416626, 1.5309048891067505, 0.18865229189395905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5780537724494934, 0.0, 0.0, 0.0, 0.19873157143592834, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 060605,-3.0137250423431396,2.9263601303100586,-5.511595726013184,4.219971066429501,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1591358184814453, 1.4012260437011719, 1.027858853340149, 0.5179280638694763, 0.5934945344924927, 1.2158973217010498, 1.1902034282684326, 0.24923276901245117, 1.5997194051742554, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.964615821838379, 2.822943925857544, 3.051865577697754, 0.0, 0.7121315598487854, 3.0273804664611816, 0.0, 2.128598928451538, 0.07841096818447113, 0.177531436085701, 0.6954125165939331, 0.7427660822868347, 3.632645845413208, 0.0, 5.018576622009277, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 120212A,-2.3079278469085693,2.904890298843384,-5.038886070251465,3.083532969156901,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4357500076293945, 1.225067138671875, 1.115906834602356, 2.375086784362793, 0.0, 0.02085738815367222, 2.6344451904296875, 1.5105955600738525, 2.023383617401123, 0.843950092792511, 0.47721967101097107, 1.1503657102584839, 1.5789151191711426, 0.0, 0.0, 0.0, 1.2518490552902222, 0.0, 3.0898241996765137, 0.0, 0.0, 0.0, 0.0, 2.572427272796631, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 100316D,-4.469487190246582,2.9614250659942627,-7.573485374450684,6.379174665971235,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06708214432001114, 0.710735559463501, 1.0794099569320679, 2.226309299468994, 2.241586208343506, 2.1438815593719482, 0.0706106498837471, 2.232417583465576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.080387830734253, 0.0, 0.0, 0.0, 3.1985702514648438, 0.0, 0.0, 0.0, 0.0, 5.404668807983398, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 220412A,-4.687656879425049,2.495891809463501,-4.753411769866943,0.7243482883159931,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04082502797245979, 0.2887689769268036, 0.4857812523841858, 0.22020873427391052, 0.04002940654754639, 0.042007990181446075, 0.5091213583946228, 1.4754213094711304, 1.2268316745758057, 0.3915683329105377, 0.0, 1.5404844284057617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2173677682876587, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0459637641906738, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 201027A,-3.3700568675994873,2.1535112857818604,-4.747881889343262,1.5042738233293806,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.892634391784668, 1.2899633646011353, 0.3749578297138214, 0.5535662770271301, 1.221717119216919, 0.7577286958694458, 1.0521198511123657, 0.5528407692909241, 0.47426003217697144, 1.2956976890563965, 1.045717477798462, 1.5790588855743408, 1.5923956632614136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9649344682693481, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 120922A,-5.988336563110352,4.39238977432251,-6.940192222595215,2.8547613525390627,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.26756688952445984, 0.25066643953323364, 1.3591309785842896, 1.2154383659362793, 0.9346070289611816, 3.3113856315612793, 5.282113552093506, 0.8852267265319824, 2.6961750984191895, 2.170621633529663, 1.7928767204284668, 0.4145102798938751, 1.289424180984497, 2.446986198425293, 0.0, 0.0, 0.0, 0.0, 0.38010212779045105, 0.3107968270778656, 0.0, 0.820534348487854, 0.0074601625092327595, 0.9087237119674683, 0.06630075722932816, 0.0, 0.0, 0.0, 0.05180172249674797, 0.0, 0.0, 0.0, 0.0, 0.5673702359199524, 1.3783340454101562, 0.0, 0.0, 0.0, 0.20604580640792847, 0.0, 0.0, 0.598324716091156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 080520,-3.2384860515594482,1.9241188764572144,-3.616433620452881,0.5041384263472124,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6430285573005676, 0.06390279531478882, 0.0, 0.21588188409805298, 0.0, 0.9173915386199951, 0.0, 1.0734591484069824, 0.46802377700805664, 0.10345806926488876, 0.2694265842437744, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3775445520877838, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02237812802195549, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6254371404647827, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 060108,-2.815033435821533,2.994950532913208,-4.262116432189941,1.359311228213103,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10245464742183685, 0.31780657172203064, 0.0, 0.32474464178085327, 0.0, 2.749562978744507, 0.06152840703725815, 0.0, 1.3647105693817139, 2.343043804168701, 0.7097788453102112, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011691424995660782, 1.8076413869857788, 0.0, 0.0, 1.4076354503631592, 0.0, 0.8761197924613953, 1.356397032737732, 0.8000454306602478, 0.07138970494270325, 1.040574073791504, 0.0, 0.2724781334400177, 0.28769901394844055, 1.4133015871047974, 0.0, 0.2972582280635834, 1.1516636610031128, 0.0, 0.8778639435768127, 1.3049769401550293, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
GRB 240529A,-4.957245349884033,5.205988883972168,-7.625628471374512,8.171113537203881,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.1131062507629395, 3.7530405521392822, 0.7053371667861938, 2.158017635345459, 2.714582920074463, 2.397691249847412, 0.9678797721862793, 1.3353159427642822, 1.3567323684692383, 1.4018818140029907, 1.3544516563415527, 1.0304538011550903, 0.4804295301437378, 0.19455228745937347, 0.0, 0.0, 0.0, 0.0, 1.4608067274093628, 1.8163217306137085, 0.0, 6.550036430358887, 5.5742716789245605, 3.300347089767456, 2.786710023880005, 3.098620891571045, 3.086564540863037, 1.8272420167922974, 2.281038999557495, 1.0757473707199097, 0.7600753903388977, 0.6893486976623535, 0.0, 1.2412010431289673, 0.0, 3.003929853439331, 0.0, 6.007111072540283, 0.0, 4.443169116973877, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",train
